   "MANDT";"WERKS";"LGORT";"LIFNR";"PARCERIA";"EBELN"
   "400";"1500";"F1EU";"0010092707";"";"4600219542"
   "400";"1550";"F1EU";"0010092707";"";"4600219542"
   "400";"1600";"F1EU";"0010092707";"";"4600219542"
   "400";"1601";"F1BW";"0010019343";"";"4600190065"
   "400";"1650";"F1EU";"0010092707";"";"4600219542"
   "400";"1750";"FV15";"0010063775";"";"4600357252"
   "400";"2014";"F1NT";"0010151738";"";"4600584035"
   "400";"2014";"F1WS";"0010104985";"";"4600307078"
   "400";"2014";"F214";"0010151738";"";"4600390897"
   "400";"2014";"F2MC";"0010151738";"";"4600584035"
   "400";"2018";"F1MX";"0010210305";"";"4600579928"
   "400";"2018";"FL60";"0010210305";"";"4600579928"
   "400";"2018";"FP74";"0010210305";"";"4600579928"
   "400";"2018";"FP77";"0010210305";"";"4600579928"
   "400";"2025";"F1NT";"0010151738";"";"4600584035"
   "400";"2025";"F214";"0010151738";"";"4600390897"
   "400";"2025";"F2MC";"0010151738";"";"4600584035"
   "400";"2032";"F02I";"0010164515";"";"4600408550"
   "400";"2032";"F0B5";"0010113697";"";"4600332536"
   "400";"2032";"F18O";"0010113697";"";"4600396774"
   "400";"2032";"F1AA";"0010164515";"";"4600588838"
   "400";"2032";"F1CF";"0010025800";"";"4600166461"
   "400";"2032";"F1NT";"0010151738";"";"4600584035"
   "400";"2032";"F1WS";"0010104985";"";"4600307078"
   "400";"2032";"F213";"0010001888";"";"4600339876"
   "400";"2032";"F214";"0010151738";"";"4600390897"
   "400";"2032";"F293";"0010175728";"";"4600427206"
   "400";"2032";"F2CH";"0010005033";"";"4600534282"
   "400";"2032";"F2MC";"0010151738";"";"4600584035"
   "400";"2032";"FV43";"0010149504";"";"4600408550"
   "400";"2032";"FV82";"0010001888";"";"4600500897"
   "400";"2032";"FVWA";"0010164515";"";"4600564080"
   "400";"2041";"F1XZ";"0010007082";"";"4600340506"
   "400";"2043";"F1NT";"0010151738";"";"4600584035"
   "400";"2043";"F1WS";"0010104985";"";"4600307078"
   "400";"2043";"F214";"0010151738";"";"4600390897"
   "400";"2043";"F2MC";"0010151738";"";"4600584035"
   "400";"2048";"F019";"0010204981";"";"4600559387"
   "400";"2048";"F02E";"0010222705";"";"4600559387"
   "400";"2048";"F11O";"0010024615";"";"4600444589"
   "400";"2048";"F1FA";"0010214874";"";"4600559389"
   "400";"2048";"F1FY";"0010169985";"";"4600425496"
   "400";"2048";"F1H5";"0010004884";"";"4600273604"
   "400";"2048";"F1MQ";"0010217149";"";"4600603164"
   "400";"2048";"F1MZ";"0010157326";"";"4600611244"
   "400";"2048";"F20D";"0010158125";"";"4600430255"
   "400";"2048";"F20E";"0010067168";"";"4600584637"
   "400";"2048";"F246";"0010169985";"";"4600425496"
   "400";"2048";"F284";"0010004967";"";"4600403018"
   "400";"2048";"F2AE";"0010026003";"";"4600492773"
   "400";"2048";"F2BU";"0010004884";"";"4600528561"
   "400";"2048";"F2WJ";"0010222708";"";"4600559387"
   "400";"2048";"FDQ1";"0010002369";"";"4600545008"
   "400";"2048";"FV77";"0010004884";"";"4600550510"
   "400";"2048";"FVAR";"0010222705";"";"4600559387"
   "400";"2048";"FVSA";"0010222706";"";"4600559387"
   "400";"2048";"FVSB";"0010222707";"";"4600559387"
   "400";"2048";"FVX4";"0010197838";"";"4600559389"
   "400";"2048";"FVZ2";"0010222708";"";"4600559387"
   "400";"2048";"FVZV";"0010215112";"";"4600559389"
   "400";"2048";"FZZ7";"0010105556";"";"4600638442"
   "400";"2048";"FZZ8";"0010105556";"";"4600638440"
   "400";"2048";"FZZ9";"0010026003";"";"4600639832"
   "400";"2048";"FZZA";"0010222706";"";"4600559387"
   "400";"2050";"F1KA";"0010022801";"";"4600262972"
   "400";"2050";"F1WW";"0010045630";"";"4600285342"
   "400";"2050";"F1X2";"0010118769";"";"4600326018"
   "400";"2050";"F1XI";"0010024717";"";"4600330880"
   "400";"2050";"F1XJ";"0010024615";"";"4600330879"
   "400";"2051";"F014";"0010004111";"";"1602226011"
         "400";"2051";"F017";"0010004972"
   "400";"2051";"F01B";"0010005239";"";"1602154011"
   "400";"2051";"F01D";"0010005909";"";"1872173018"
   "400";"2051";"F01E";"0010005909";"";"4600002372"
   "400";"2051";"F01F";"0010014661";"";"1602186011"
         "400";"2051";"F01G";"0010014661"
         "400";"2051";"F01J";"0010024717"
   "400";"2051";"F01K";"0010025340";"";"1602227012"
   "400";"2051";"F01L";"0010025340";"";"1602297002"
         "400";"2051";"F01N";"0010025340"
   "400";"2051";"F01P";"0010025478";"";"4600002803"
         "400";"2051";"F01Q";"0010025478"
         "400";"2051";"F01S";"0010025701"
   "400";"2051";"F02I";"0010164515";"";"4600408550"
   "400";"2051";"F052";"0010002370";"";"4600161414"
         "400";"2051";"F053";"0010002370"
   "400";"2051";"F054";"0010002412";"";"1862005037"
   "400";"2051";"F055";"0010002509";"";"4600162560"
   "400";"2051";"F056";"0010002509";"";"1602175021"
   "400";"2051";"F057";"0010002509";"";"1602267997"
   "400";"2051";"F059";"0010003560";"";"4600163191"
   "400";"2051";"F05A";"0010004111";"";"4600161665"
   "400";"2051";"F05B";"0010004111";"";"4600161667"
   "400";"2051";"F05C";"0010005020";"";"1602030033"
   "400";"2051";"F05D";"0010005020";"";"1602031036"
   "400";"2051";"F05E";"0010005020";"";"1602089035"
   "400";"2051";"F05H";"0010005239";"";"1602122018"
   "400";"2051";"F05J";"0010005239";"";"1602178011"
   "400";"2051";"F05K";"0010005262";"";"1602197011"
         "400";"2051";"F05L";"0010008440"
   "400";"2051";"F05M";"0010014661";"";"4600163262"
   "400";"2051";"F05N";"0010014661";"";"1602060031"
   "400";"2051";"F05P";"0010014661";"";"4600163258"
   "400";"2051";"F05Q";"0010014661";"";"1602182029"
   "400";"2051";"F05S";"0010025340";"";"1602012038"
   "400";"2051";"F05T";"0010025340";"";"4600163482"
   "400";"2051";"F05V";"0010025340";"";"1602153025"
   "400";"2051";"F05W";"0010025340";"";"1602199015"
   "400";"2051";"F05X";"0010025478";"";"4600002806"
   "400";"2051";"F05Y";"0010025640";"";"1602166010"
   "400";"2051";"F0QS";"0010002691";"";"4600001611"
   "400";"2051";"F0QZ";"0010005239";"";"1602013014"
   "400";"2051";"F0R0";"0010005239";"";"1602020011"
   "400";"2051";"F0R1";"0010005239";"";"1602082984"
   "400";"2051";"F0R2";"0010005239";"";"1602348009"
   "400";"2051";"F0R5";"0010006773";"";"4600164401"
   "400";"2051";"F0R7";"0010007552";"";"1602267997"
   "400";"2051";"F0R9";"0010014661";"";"1602019010"
   "400";"2051";"F0RA";"0010014661";"";"1602106018"
   "400";"2051";"F0RB";"0010014661";"";"1602167013"
   "400";"2051";"F0RC";"0010014661";"";"1602175013"
   "400";"2051";"F0RF";"0010025247";"";"1602020011"
   "400";"2051";"F0RG";"0010025247";"";"1602348009"
   "400";"2051";"F0RH";"0010025340";"";"1602205008"
   "400";"2051";"F0RJ";"0010025478";"";"1602075987"
   "400";"2051";"F0RK";"0010025478";"";"4600002803"
   "400";"2051";"F0RQ";"0010026003";"";"4600161582"
   "400";"2051";"F0RU";"0010042953";"";"1602267997"
   "400";"2051";"F0RV";"0010045897";"";"1602267997"
   "400";"2051";"F0RX";"0010050410";"";"1602166985"
   "400";"2051";"F0RY";"0010050410";"";"1602217009"
   "400";"2051";"F0RZ";"0010050410";"";"1602218001"
   "400";"2051";"F0S0";"0010055775";"";"1602053016"
   "400";"2051";"F0S1";"0010055775";"";"1602308007"
   "400";"2051";"F0S2";"0010057282";"";"4600004354"
   "400";"2051";"F0S3";"0010057603";"";"1602028013"
   "400";"2051";"F0S5";"0010057603";"";"1602375007"
   "400";"2051";"F0S6";"0010057607";"";"1602028013"
         "400";"2051";"F12S";"0010001139"
         "400";"2051";"F12T";"0010001140"
   "400";"2051";"F12U";"0010002206";"";"4600004678"
         "400";"2051";"F12V";"0010004240"
         "400";"2051";"F12W";"0010004884"
         "400";"2051";"F12X";"0010004967"
   "400";"2051";"F12Y";"0010005020";"";"4600160826"
         "400";"2051";"F12Z";"0010005190"
         "400";"2051";"F130";"0010005204"
         "400";"2051";"F131";"0010005239"
         "400";"2051";"F132";"0010006548"
         "400";"2051";"F133";"0010006747"
         "400";"2051";"F134";"0010007479"
         "400";"2051";"F135";"0010009545"
         "400";"2051";"F136";"0010016012"
         "400";"2051";"F137";"0010025044"
   "400";"2051";"F138";"0010025478";"";"4600002804"
         "400";"2051";"F139";"0010025655"
         "400";"2051";"F13A";"0010025800"
         "400";"2051";"F13B";"0010025863"
         "400";"2051";"F13C";"0010025972"
         "400";"2051";"F13D";"0010034652"
         "400";"2051";"F13E";"0010039106"
      "400";"2051";"F13F";"0010040157";"P"
   "400";"2051";"F13G";"0010047432";"";"1602029032"
   "400";"2051";"F13H";"0010047432";"";"1602101022"
   "400";"2051";"F13J";"0010047432";"";"1602376001"
         "400";"2051";"F13K";"0010047432"
   "400";"2051";"F13L";"0010055775";"";"1602035029"
   "400";"2051";"F13M";"0010055775";"";"1602171012"
   "400";"2051";"F13N";"0010055775";"";"4600162864"
   "400";"2051";"F13P";"0010055775";"";"4600162863"
   "400";"2051";"F13Q";"0010055775";"";"1872058011"
         "400";"2051";"F13R";"0010055775"
   "400";"2051";"F13S";"0010057603";"";"1602030033"
   "400";"2051";"F13T";"0010057603";"";"1602069026"
   "400";"2051";"F13U";"0010057603";"";"1602148015"
         "400";"2051";"F13V";"0010057603"
   "400";"2051";"F13W";"0010059382";"";"1602166010"
      "400";"2051";"F13X";"0010061585";"P"
   "400";"2051";"F1AM";"0010004972";"";"4600002120"
   "400";"2051";"F1C8";"0010024717";"P";"4600008624"
   "400";"2051";"F1D4";"0010004971";"";"4600205064"
   "400";"2051";"F1PQ";"0010024717";"P";"4600319190"
   "400";"2051";"FVWE";"0010163132";"";"4600557379"
